nm Psi Delta 
400.0000 33.587 161.162 
410.0000 33.524 161.131 
420.0000 33.367 161.088 
430.0000 33.226 160.959 
440.0000 33.102 160.689 
450.0000 32.924 160.266 
460.0000 32.776 159.699 
470.0000 32.747 158.821 
480.0000 32.651 157.627 
490.0000 32.941 156.310 
500.0000 33.450 155.138 
510.0000 34.176 154.731 
520.0000 34.799 154.432 
530.0000 35.348 154.483 
540.0000 35.841 154.643 
550.0000 36.264 154.910 
560.0000 36.635 155.183 
570.0000 36.998 155.440 
580.0000 37.268 155.751 
590.0000 37.535 156.069 
600.0000 37.787 156.350 
610.0000 38.066 156.672 
620.0000 38.266 156.940 
630.0000 38.455 157.270 
640.0000 38.640 157.504 
650.0000 38.840 157.801 
660.0000 39.039 158.109 
670.0000 39.186 158.424 
680.0000 39.314 158.728 
690.0000 39.495 158.991 
700.0000 39.601 159.324 
