# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.409597194    4.817676366    4.817676364    4.817676347
    4.449675351    4.865336595    4.865336594    4.865336550
    4.489753507    5.138768154    5.138768153    5.138768109
    4.529831663    5.324342483    5.324342483    5.324342446
    4.569909820    5.415051133    5.415051135    5.415051118
    4.609987976    5.210483208    5.210483209    5.210483238
    4.650066132    4.812927753    4.812927753    4.812927795
    4.690144289    4.586413426    4.586413426    4.586413446
    4.730222445    4.523149491    4.523149490    4.523149475
    4.770300601    4.550229057    4.550229056    4.550229019
    4.810378758    4.710078989    4.710078988    4.710078948
    4.850456914    4.885487618    4.885487616    4.885487588
    4.890535070    5.031322347    5.031322346    5.031322321
    4.930613226    5.493002901    5.493002901    5.493002857
    4.970691383    6.552390532    6.552390533    6.552390473
    5.010769539    7.901770390    7.901770391    7.901770359
    5.050847695    8.651852278    8.651852278    8.651852301
    5.090925852    8.330106926    8.330106925    8.330106961
    5.131004008    7.075089771    7.075089769    7.075089795
    5.171082164    5.755201258    5.755201255    5.755201266
    5.211160321    4.922573536    4.922573533    4.922573530
    5.251238477    4.540762662    4.540762659    4.540762645
    5.291316633    4.468514675    4.468514672    4.468514648
    5.331394790    4.690004870    4.690004868    4.690004831
    5.371472946    5.253069440    5.253069438    5.253069387
    5.411551102    6.062271288    6.062271285    6.062271231
    5.451629259    6.696592052    6.696592050    6.696592027
    5.491707415    6.485267883    6.485267882    6.485267900
    5.531785571    5.607432737    5.607432737    5.607432765
    5.571863727    4.704048497    4.704048497    4.704048515
    5.611941884    4.020682797    4.020682796    4.020682803
    5.652020040    3.517834000    3.517834000    3.517833998
    5.692098196    3.177912488    3.177912489    3.177912479
    5.732176353    3.099603318    3.099603321    3.099603301
    5.772254509    3.348843816    3.348843820    3.348843792
    5.812332665    3.906064925    3.906064931    3.906064904
    5.852410822    4.564291605    4.564291612    4.564291594
    5.892488978    4.960082418    4.960082425    4.960082407
    5.932567134    4.872092825    4.872092833    4.872092817
    5.972645291    4.321316493    4.321316501    4.321316500
    6.012723447    3.463031548    3.463031554    3.463031561
    6.052801603    2.698434846    2.698434850    2.698434849
    6.092879760    2.212157816    2.212157819    2.212157809
    6.132957916    1.955564729    1.955564731    1.955564714
    6.173036072    1.822721807    1.822721809    1.822721788
    6.213114228    1.753218939    1.753218940    1.753218918
    6.253192385    1.725244280    1.725244280    1.725244259
    6.293270541    1.760609022    1.760609022    1.760608997
    6.333348697    1.918594294    1.918594294    1.918594263
    6.373426854    2.219910348    2.219910347    2.219910310
    6.413505010    2.656884974    2.656884974    2.656884929
    6.453583166    3.163817021    3.163817019    3.163816976
    6.493661323    3.498793556    3.498793553    3.498793525
    6.533739479    3.521725765    3.521725760    3.521725743
    6.573817635    3.474084650    3.474084645    3.474084628
    6.613895792    3.517908585    3.517908580    3.517908570
    6.653973948    3.578921295    3.578921291    3.578921283
    6.694052104    3.476300093    3.476300091    3.476300085
    6.734130261    3.042729521    3.042729520    3.042729515
    6.774208417    2.503121301    2.503121300    2.503121289
    6.814286573    2.139812553    2.139812553    2.139812536
    6.854364729    2.023338955    2.023338956    2.023338933
    6.894442886    2.113406297    2.113406297    2.113406270
    6.934521042    2.297670623    2.297670623    2.297670592
    6.974599198    2.420016530    2.420016530    2.420016498
    7.014677355    2.470168631    2.470168632    2.470168602
    7.054755511    2.560545020    2.560545019    2.560544991
    7.094833667    2.812158838    2.812158838    2.812158808
    7.134911824    3.146798375    3.146798375    3.146798345
    7.174989980    3.307988285    3.307988286    3.307988259
    7.215068136    3.279302302    3.279302303    3.279302277
    7.255146293    3.100950033    3.100950034    3.100950009
    7.295224449    2.819303936    2.819303936    2.819303913
    7.335302605    2.630166655    2.630166656    2.630166631
    7.375380762    2.626061626    2.626061626    2.626061600
    7.415458918    2.666333041    2.666333041    2.666333015
    7.455537074    2.577488777    2.577488777    2.577488756
    7.495615230    2.319637245    2.319637245    2.319637227
    7.535693387    2.026694186    2.026694186    2.026694166
    7.575771543    1.806152251    1.806152251    1.806152227
    7.615849699    1.691133912    1.691133913    1.691133886
    7.655927856    1.677303891    1.677303891    1.677303863
    7.696006012    1.737429050    1.737429051    1.737429022
    7.736084168    1.783032775    1.783032775    1.783032748
    7.776162325    1.739773072    1.739773072    1.739773045
    7.816240481    1.698993694    1.698993693    1.698993668
    7.856318637    1.735554558    1.735554558    1.735554530
    7.896396794    1.836512595    1.836512595    1.836512565
    7.936474950    1.899089884    1.899089884    1.899089855
    7.976553106    1.857745430    1.857745429    1.857745405
    8.016631263    1.781068957    1.781068957    1.781068935
    8.056709419    1.761346086    1.761346086    1.761346062
    8.096787575    1.815461394    1.815461394    1.815461367
    8.136865731    1.884874665    1.884874665    1.884874633
    8.176943888    1.966230162    1.966230162    1.966230122
    8.217022044    2.144405318    2.144405318    2.144405272
    8.257100200    2.296513694    2.296513694    2.296513652
    8.297178357    2.233244456    2.233244456    2.233244421
    8.337256513    2.101744240    2.101744241    2.101744207
    8.377334669    2.084625731    2.084625732    2.084625696
    8.417412826    2.117360328    2.117360329    2.117360297
    8.457490982    2.095269476    2.095269476    2.095269449
    8.497569138    2.079070417    2.079070417    2.079070388
    8.537647295    2.080172233    2.080172233    2.080172201
    8.577725451    2.110449583    2.110449583    2.110449549
    8.617803607    2.215376483    2.215376483    2.215376451
    8.657881764    2.370389259    2.370389259    2.370389230
    8.697959920    2.519289529    2.519289528    2.519289499
    8.738038076    2.594204776    2.594204776    2.594204744
    8.778116232    2.640347798    2.640347798    2.640347762
    8.818194389    2.800344178    2.800344177    2.800344143
    8.858272545    3.047717060    3.047717060    3.047717031
    8.898350701    3.122749060    3.122749060    3.122749031
    8.938428858    2.920045842    2.920045841    2.920045802
    8.978507014    2.684636951    2.684636950    2.684636903
    9.018585170    2.585127317    2.585127315    2.585127264
    9.058663327    2.553687340    2.553687338    2.553687285
    9.098741483    2.458809959    2.458809958    2.458809910
    9.138819639    2.235060563    2.235060560    2.235060521
    9.178897796    1.986729807    1.986729804    1.986729770
    9.218975952    1.860336567    1.860336564    1.860336528
    9.259054108    1.884937100    1.884937096    1.884937060
    9.299132265    1.961881781    1.961881778    1.961881742
    9.339210421    2.000113337    2.000113334    2.000113296
    9.379288577    2.017858697    2.017858694    2.017858652
    9.419366733    2.054854401    2.054854399    2.054854357
    9.459444890    2.042585037    2.042585035    2.042584997
    9.499523046    1.996019309    1.996019307    1.996019272
    9.539601202    2.027266446    2.027266444    2.027266409
    9.579679359    2.202487764    2.202487761    2.202487726
    9.619757515    2.433367855    2.433367853    2.433367820
    9.659835671    2.512011309    2.512011307    2.512011278
    9.699913828    2.463838152    2.463838150    2.463838120
    9.739991984    2.468530212    2.468530210    2.468530176
    9.780070140    2.506585792    2.506585790    2.506585753
    9.820148297    2.496430708    2.496430707    2.496430666
    9.860226453    2.479681508    2.479681507    2.479681465
    9.900304609    2.447590241    2.447590241    2.447590203
    9.940382766    2.368407637    2.368407637    2.368407602
    9.980460922    2.298132189    2.298132189    2.298132153
   10.020539078    2.246095215    2.246095215    2.246095181
   10.060617234    2.120471326    2.120471326    2.120471294
   10.100695391    1.954348703    1.954348703    1.954348671
   10.140773547    1.838473530    1.838473529    1.838473496
   10.180851703    1.776847148    1.776847148    1.776847112
   10.220929860    1.749019957    1.749019956    1.749019919
   10.261008016    1.767021910    1.767021909    1.767021871
   10.301086172    1.862698222    1.862698221    1.862698184
   10.341164329    1.976305056    1.976305055    1.976305018
   10.381242485    2.061643780    2.061643780    2.061643739
   10.421320641    2.109724128    2.109724127    2.109724083
   10.461398798    2.118499833    2.118499833    2.118499786
   10.501476954    2.124671604    2.124671604    2.124671557
   10.541555110    2.147566985    2.147566985    2.147566942
   10.581633267    2.106026936    2.106026935    2.106026898
   10.621711423    1.937169016    1.937169015    1.937168980
   10.661789579    1.707185757    1.707185756    1.707185720
   10.701867735    1.543629872    1.543629871    1.543629832
   10.741945892    1.524644702    1.524644701    1.524644658
   10.782024048    1.632577784    1.632577783    1.632577738
   10.822102204    1.766701863    1.766701863    1.766701817
   10.862180361    1.814874936    1.814874936    1.814874889
   10.902258517    1.822749476    1.822749477    1.822749428
   10.942336673    1.915606519    1.915606519    1.915606469
   10.982414830    2.089176166    2.089176166    2.089176114
   11.022492986    2.266870518    2.266870518    2.266870464
   11.062571142    2.307673654    2.307673654    2.307673601
   11.102649299    2.187782196    2.187782196    2.187782146
   11.142727455    2.005475506    2.005475506    2.005475462
   11.182805611    1.837218846    1.837218846    1.837218806
   11.222883768    1.752322860    1.752322860    1.752322820
   11.262961924    1.804022492    1.804022492    1.804022451
   11.303040080    1.970891173    1.970891173    1.970891129
   11.343118236    2.146860890    2.146860890    2.146860840
   11.383196393    2.241936195    2.241936194    2.241936136
   11.423274549    2.348921816    2.348921816    2.348921752
   11.463352705    2.586214696    2.586214696    2.586214632
   11.503430862    2.889010024    2.889010024    2.889009966
   11.543509018    3.088233944    3.088233944    3.088233894
   11.583587174    3.181051765    3.181051764    3.181051721
   11.623665331    3.267256485    3.267256484    3.267256445
   11.663743487    3.311739930    3.311739930    3.311739895
   11.703821643    3.139430561    3.139430560    3.139430523
   11.743899800    2.785661470    2.785661470    2.785661427
   11.783977956    2.439684030    2.439684031    2.439683984
   11.824056112    2.190194617    2.190194618    2.190194569
   11.864134269    2.038942468    2.038942470    2.038942422
   11.904212425    1.899573111    1.899573112    1.899573066
   11.944290581    1.739924142    1.739924143    1.739924097
   11.984368737    1.651318780    1.651318780    1.651318731
   12.024446894    1.692055988    1.692055988    1.692055935
   12.064525050    1.819426038    1.819426038    1.819425983
   12.104603206    1.957691141    1.957691141    1.957691087
   12.144681363    2.028626344    2.028626344    2.028626293
   12.184759519    1.959504363    1.959504363    1.959504317
   12.224837675    1.844810379    1.844810380    1.844810335
   12.264915832    1.818269150    1.818269150    1.818269103
   12.304993988    1.851019226    1.851019226    1.851019176
   12.345072144    1.885302342    1.885302342    1.885302287
   12.385150301    1.848657785    1.848657785    1.848657729
   12.425228457    1.703703260    1.703703261    1.703703206
   12.465306613    1.535629202    1.535629203    1.535629150
   12.505384770    1.431431061    1.431431062    1.431431007
   12.545462926    1.393486984    1.393486984    1.393486928
   12.585541082    1.407488347    1.407488347    1.407488291
   12.625619238    1.468815152    1.468815151    1.468815095
   12.665697395    1.526801460    1.526801459    1.526801402
   12.705775551    1.527298197    1.527298196    1.527298137
   12.745853707    1.507606761    1.507606760    1.507606700
   12.785931864    1.527968860    1.527968860    1.527968798
   12.826010020    1.656687107    1.656687106    1.656687042
   12.866088176    1.953142928    1.953142927    1.953142857
   12.906166333    2.390803499    2.390803499    2.390803425
   12.946244489    2.831042054    2.831042054    2.831041986
   12.986322645    3.154284876    3.154284876    3.154284818
   13.026400802    3.251899798    3.251899798    3.251899744
   13.066478958    3.099544914    3.099544915    3.099544859
   13.106557114    2.904117433    2.904117433    2.904117375
   13.146635271    2.800825550    2.800825550    2.800825488
   13.186713427    2.773023478    2.773023479    2.773023416
   13.226791583    2.841506380    2.841506380    2.841506320
   13.266869739    3.030268635    3.030268635    3.030268575
   13.306947896    3.241480193    3.241480193    3.241480132
   13.347026052    3.337681957    3.337681958    3.337681895
   13.387104208    3.289265046    3.289265047    3.289264982
   13.427182365    3.219439620    3.219439621    3.219439554
   13.467260521    3.240653045    3.240653044    3.240652977
   13.507338677    3.328531005    3.328531004    3.328530937
   13.547416834    3.341168776    3.341168775    3.341168711
   13.587494990    3.098982353    3.098982352    3.098982296
   13.627573146    2.677975560    2.677975559    2.677975506
   13.667651303    2.331849257    2.331849255    2.331849201
   13.707729459    2.169028684    2.169028683    2.169028627
   13.747807615    2.122529212    2.122529210    2.122529152
   13.787885772    2.084144227    2.084144225    2.084144165
   13.827963928    2.030258113    2.030258112    2.030258050
   13.868042084    2.042803741    2.042803740    2.042803673
   13.908120240    2.201940405    2.201940403    2.201940333
   13.948198397    2.458412034    2.458412032    2.458411963
   13.988276553    2.593801565    2.593801563    2.593801498
   14.028354709    2.547442738    2.547442736    2.547442674
   14.068432866    2.480061595    2.480061593    2.480061534
   14.108511022    2.409579773    2.409579772    2.409579714
   14.148589178    2.300141352    2.300141351    2.300141290
   14.188667335    2.230100256    2.230100255    2.230100188
   14.228745491    2.236147377    2.236147376    2.236147302
   14.268823647    2.299193790    2.299193790    2.299193716
   14.308901804    2.320225876    2.320225876    2.320225809
   14.348979960    2.279176275    2.279176275    2.279176213
   14.389058116    2.214005412    2.214005411    2.214005349
   14.429136273    2.181664138    2.181664137    2.181664069
   14.469214429    2.267705060    2.267705058    2.267704981
   14.509292585    2.456806374    2.456806372    2.456806290
   14.549370741    2.624212307    2.624212306    2.624212228
   14.589448898    2.614683866    2.614683865    2.614683798
   14.629527054    2.447748984    2.447748984    2.447748921
   14.669605210    2.289686581    2.289686581    2.289686516
   14.709683367    2.208213630    2.208213630    2.208213562
   14.749761523    2.172065630    2.172065629    2.172065560
   14.789839679    2.178968909    2.178968909    2.178968838
   14.829917836    2.260276056    2.260276056    2.260275982
   14.869995992    2.390446170    2.390446170    2.390446094
   14.910074148    2.444085260    2.444085261    2.444085184
   14.950152305    2.377822209    2.377822209    2.377822131
   14.990230461    2.312132675    2.312132675    2.312132596
   15.030308617    2.340191998    2.340191997    2.340191919
   15.070386774    2.435729834    2.435729833    2.435729756
   15.110464930    2.514634790    2.514634789    2.514634718
   15.150543086    2.463695515    2.463695514    2.463695453
   15.190621242    2.285595782    2.285595782    2.285595724
   15.230699399    2.101994801    2.101994801    2.101994737
   15.270777555    1.938139649    1.938139649    1.938139576
   15.310855711    1.796377783    1.796377783    1.796377704
   15.350933868    1.693650509    1.693650509    1.693650431
   15.391012024    1.629515256    1.629515256    1.629515182
   15.431090180    1.612166241    1.612166241    1.612166166
   15.471168337    1.666755317    1.666755317    1.666755240
   15.511246493    1.789275806    1.789275806    1.789275728
   15.551324649    1.913194822    1.913194823    1.913194746
   15.591402806    1.947131908    1.947131910    1.947131835
   15.631480962    1.888907896    1.888907898    1.888907821
   15.671559118    1.814234588    1.814234589    1.814234509
   15.711637275    1.782651059    1.782651059    1.782650978
   15.751715431    1.801652804    1.801652804    1.801652722
   15.791793587    1.857176265    1.857176264    1.857176181
   15.831871743    1.975956227    1.975956225    1.975956139
   15.871949900    2.143071351    2.143071349    2.143071264
   15.912028056    2.272242415    2.272242414    2.272242330
   15.952106212    2.342343148    2.342343147    2.342343061
   15.992184369    2.368902166    2.368902165    2.368902075
