# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000039434    0.000039434    0.000039434
    0.041078156    0.001620253    0.001620252    0.001620253
    0.081156313    0.003203273    0.003203273    0.003203273
    0.121234469    0.004790653    0.004790652    0.004790652
    0.161312625    0.006384566    0.006384565    0.006384566
    0.201390782    0.007987215    0.007987214    0.007987214
    0.241468938    0.009600837    0.009600836    0.009600836
    0.281547094    0.011227715    0.011227714    0.011227715
    0.321625251    0.012870189    0.012870188    0.012870188
    0.361703407    0.014530661    0.014530660    0.014530661
    0.401781563    0.016211614    0.016211613    0.016211614
    0.441859719    0.017915617    0.017915616    0.017915617
    0.481937876    0.019645340    0.019645338    0.019645339
    0.522016032    0.021403566    0.021403565    0.021403566
    0.562094188    0.023193210    0.023193209    0.023193210
    0.602172345    0.025017329    0.025017327    0.025017328
    0.642250501    0.026879140    0.026879138    0.026879139
    0.682328657    0.028782043    0.028782041    0.028782042
    0.722406814    0.030729638    0.030729636    0.030729637
    0.762484970    0.032725747    0.032725745    0.032725746
    0.802563126    0.034774441    0.034774439    0.034774440
    0.842641283    0.036880070    0.036880068    0.036880069
    0.882719439    0.039047290    0.039047287    0.039047288
    0.922797595    0.041281098    0.041281095    0.041281097
    0.962875752    0.043586876    0.043586873    0.043586875
    1.002953908    0.045970430    0.045970428    0.045970429
    1.043032064    0.048438044    0.048438041    0.048438043
    1.083110220    0.050996532    0.050996529    0.050996531
    1.123188377    0.053653307    0.053653304    0.053653305
    1.163266533    0.056416450    0.056416446    0.056416448
    1.203344689    0.059294796    0.059294793    0.059294794
    1.243422846    0.062298031    0.062298028    0.062298030
    1.283501002    0.065436803    0.065436799    0.065436801
    1.323579158    0.068722845    0.068722842    0.068722843
    1.363657315    0.072169133    0.072169130    0.072169131
    1.403735471    0.075790053    0.075790050    0.075790051
    1.443813627    0.079601606    0.079601602    0.079601604
    1.483891784    0.083621647    0.083621643    0.083621645
    1.523969940    0.087870169    0.087870164    0.087870166
