wl	n
8.55	0.284762
8.56	0.284283
8.57	0.283816
8.58	0.283362
8.59	0.282920
8.60	0.282489
8.61	0.282070
8.62	0.281662
8.63	0.281266
8.64	0.280880
8.65	0.280504
8.66	0.280139
8.67	0.279785
8.68	0.279439
8.69	0.279104
8.70	0.278778
8.71	0.278462
8.72	0.278154
8.73	0.277856
8.74	0.277566
8.75	0.277285
8.76	0.277012
8.77	0.276747
8.78	0.276491
8.79	0.276242
8.80	0.276001
8.81	0.275768
8.82	0.275542
8.83	0.275324
8.84	0.275113
8.85	0.274909
8.86	0.274712
8.87	0.274521
8.88	0.274338
8.89	0.274161
8.90	0.273990
8.91	0.273826
8.92	0.273668
8.93	0.273516
8.94	0.273370
8.95	0.273230
8.96	0.273096
8.97	0.272968
8.98	0.272845
8.99	0.272728
9.00	0.272616
9.01	0.272510
9.02	0.272409
9.03	0.272313
9.04	0.272222
9.05	0.272136
9.06	0.272055
9.07	0.271979
9.08	0.271908
9.09	0.271842
9.10	0.271780
9.11	0.271722
9.12	0.271670
9.13	0.271621
9.14	0.271578
9.15	0.271538
9.16	0.271503
9.17	0.271472
9.18	0.271444
9.19	0.271422
9.20	0.271403
9.21	0.271388
9.22	0.271377
9.23	0.271369
9.24	0.271366
9.25	0.271366
9.26	0.271370
9.27	0.271378
9.28	0.271389
9.29	0.271404
9.30	0.271422
9.31	0.271443
9.32	0.271469
9.33	0.271497
9.34	0.271529
9.35	0.271564
9.36	0.271602
9.37	0.271643
9.38	0.271688
9.39	0.271736
9.40	0.271787
9.41	0.271840
9.42	0.271897
9.43	0.271957
9.44	0.272020
9.45	0.272085
9.46	0.272154
9.47	0.272225
9.48	0.272299
9.49	0.272376
9.50	0.272455
9.51	0.272537
9.52	0.272622
9.53	0.272710
9.54	0.272800
9.55	0.272893
9.56	0.272988
9.57	0.273085
9.58	0.273186
9.59	0.273288
9.60	0.273393
9.61	0.273501
9.62	0.273611
9.63	0.273723
9.64	0.273838
9.65	0.273954
9.66	0.274074
9.67	0.274195
9.68	0.274319
9.69	0.274444
9.70	0.274572
9.71	0.274703
9.72	0.274835
9.73	0.274969
9.74	0.275106
9.75	0.275245
9.76	0.275385
9.77	0.275528
9.78	0.275673
9.79	0.275819
9.80	0.275968
9.81	0.276119
9.82	0.276271
9.83	0.276426
9.84	0.276582
9.85	0.276741
9.86	0.276901
9.87	0.277063
9.88	0.277227
9.89	0.277392
9.90	0.277560
9.91	0.277729
9.92	0.277900
9.93	0.278073
9.94	0.278248
9.95	0.278424
9.96	0.278602
9.97	0.278781
9.98	0.278963
9.99	0.279146
10.00	0.279330
10.01	0.279517
10.02	0.279705
10.03	0.279894
10.04	0.280085
10.05	0.280278
10.06	0.280472
10.07	0.280668
10.08	0.280865
10.09	0.281064
10.10	0.281265
10.11	0.281467
10.12	0.281670
10.13	0.281875
10.14	0.282081
10.15	0.282289
10.16	0.282498
10.17	0.282709
10.18	0.282921
10.19	0.283135
10.20	0.283350
10.21	0.283566
10.22	0.283784
10.23	0.284003
10.24	0.284223
10.25	0.284445
10.26	0.284668
10.27	0.284893
10.28	0.285118
10.29	0.285345
10.30	0.285574
10.31	0.285804
10.32	0.286035
10.33	0.286267
10.34	0.286500
