wl	n
3.6496	1.728
3.6630	1.736
3.6765	1.745
3.6900	1.754
3.7037	1.764
3.7175	1.773
3.7313	1.783
3.7453	1.792
3.7594	1.802
3.7736	1.810
3.7879	1.819
3.8023	1.829
3.8168	1.839
3.8314	1.849
3.8462	1.859
3.8610	1.870
3.8760	1.881
3.8911	1.892
3.9063	1.902
3.9216	1.913
3.9370	1.924
3.9526	1.936
3.9683	1.947
3.9841	1.959
4.0000	1.971
4.0161	1.984
4.0323	1.997
4.0486	2.010
4.0650	2.025
4.0816	2.039
4.0984	2.053
4.1152	2.066
4.1322	2.079
4.1494	2.092
4.1667	2.108
4.1841	2.124
4.2017	2.140
4.2194	2.156
4.2373	2.171
4.2553	2.186
4.2735	2.201
4.2918	2.216
4.3103	2.233
4.3290	2.251
4.3478	2.270
4.3668	2.287
4.3860	2.304
4.4053	2.321
4.4248	2.338
4.4444	2.356
4.4643	2.374
4.4843	2.391
4.5045	2.409
4.5249	2.429
4.5455	2.449
4.5662	2.468
4.5872	2.485
4.6083	2.505
4.6296	2.524
4.6512	2.544
4.6729	2.561
4.6948	2.579
4.7170	2.597
4.7393	2.616
4.7619	2.636
4.7847	2.654
4.8077	2.673
4.8309	2.691
4.8544	2.710
4.8780	2.728
4.9020	2.748
4.9261	2.766
4.9505	2.785
4.9751	2.801
5.0000	2.817
5.0251	2.834
5.0761	2.870
5.1020	2.888
5.1020	2.853
5.1282	2.905
5.1546	2.925
5.1813	2.943
5.2083	2.959
5.2356	2.975
5.2632	2.991
5.2910	3.007
5.3191	3.024
5.3476	3.041
5.3763	3.058
5.4054	3.075
5.4348	3.093
5.4645	3.111
5.4945	3.128
5.5249	3.145
5.5556	3.162
5.5866	3.179
5.6180	3.199
5.6497	3.216
5.6818	3.232
5.7143	3.249
5.7471	3.269
5.7803	3.290
5.8140	3.311
5.8480	3.332
5.8824	3.354
5.9172	3.377
5.9524	3.399
5.9880	3.425
6.0241	3.452
6.0606	3.481
6.0976	3.509
6.1350	3.535
6.1728	3.562
6.2112	3.591
6.2500	3.623
6.2893	3.653
6.3291	3.684
6.3694	3.715
6.4103	3.752
6.4516	3.788
6.4935	3.827
6.5359	3.865
6.5789	3.903
6.6225	3.939
6.6667	3.979
6.7114	4.022
6.7568	4.068
6.8027	4.111
6.8493	4.155
6.8966	4.198
6.9444	4.245
6.9930	4.292
7.0423	4.342
7.0922	4.393
7.1429	4.442
7.1942	4.491
7.2464	4.540
7.2993	4.591
7.3529	4.642
7.4074	4.695
7.4627	4.748
7.5188	4.804
7.5758	4.861
7.6336	4.922
7.6923	4.980
7.7519	5.036
7.8125	5.091
7.8740	5.147
7.9365	5.205
8.0000	5.264
8.0645	5.327
8.1301	5.392
8.1967	5.457
8.2645	5.520
8.3333	5.585
8.4034	5.652
8.4746	5.720
8.5470	5.789
8.6207	5.860
8.6957	5.933
8.7719	6.007
8.8496	6.083
8.9286	6.161
9.0090	6.240
9.0909	6.321
9.1743	6.405
9.2593	6.490
9.3458	6.577
9.4340	6.666
9.5238	6.758
9.6154	6.857
9.7087	6.957
9.8039	7.060
9.9010	7.160
10.0000	7.264
10.1010	7.375
10.2041	7.489
10.3093	7.610
10.4167	7.729
10.5263	7.856
10.6383	7.980
10.7527	8.113
10.8696	8.243
10.9890	8.376
11.1111	8.507
11.2360	8.642
11.3636	8.780
11.4943	8.922
11.6279	9.068
11.7647	9.217
11.9048	9.363
12.0482	9.514
12.1951	9.669
12.3457	9.834
12.5000	9.995
12.6582	10.152
12.8205	10.305
12.9870	10.455
13.1579	10.603
13.3333	10.748
13.5135	10.898
13.6986	11.052
13.8889	11.202
14.0845	11.356
14.2857	11.507
14.4928	11.661
14.7059	11.801
14.9254	11.949
15.1515	12.102
15.3846	12.268
15.6250	12.426
15.8730	12.565
16.1290	12.690
16.3934	12.813
16.6667	12.955
16.9492	13.112
17.2414	13.272
17.5439	13.422
17.8571	13.552
18.1818	13.690
18.5185	13.836
18.8679	14.000
19.2308	14.167
19.6078	14.323
20.0000	14.470
20.4082	14.609
20.8333	14.776
21.2766	14.968
21.7391	15.183
22.2222	15.406
22.7273	15.637
23.2558	15.879
23.8095	16.134
24.3902	16.427
25.0000	16.759
25.6410	17.132
26.3158	17.524
27.0270	17.941
27.7778	18.418
28.5714	18.960
29.4118	19.605
30.3030	20.293
31.2500	21.072
32.2581	21.918
33.3333	22.922
34.4828	24.013
35.7143	25.258
37.0370	26.632
38.4615	28.268
40.0000	30.080
41.6667	32.172
43.4783	34.533
45.4545	37.361
47.6190	40.571
50.0000	44.324
52.6316	48.419
55.5556	54.058

wl	k
0.2100	1.376
0.2200	1.439
0.2300	1.490
0.2400	1.500
0.2500	1.474
0.2600	1.431
0.2700	1.391
0.2800	1.365
0.2900	1.360
0.3000	1.380
0.3100	1.421
0.3200	1.467
0.3300	1.511
0.3400	1.552
0.3500	1.593
0.3600	1.637
0.3700	1.683
0.3800	1.728
0.3900	1.773
0.4000	1.818
0.4100	1.862
0.4200	1.907
0.4300	1.952
0.4400	1.998
0.4500	2.042
0.4600	2.083
0.4700	2.119
0.4800	2.154
0.4900	2.186
0.5000	2.215
0.5100	2.235
0.5200	2.244
0.5300	2.242
0.5400	2.238
0.5500	2.248
0.5600	2.293
0.5700	2.382
0.5800	2.510
0.5900	2.661
0.6000	2.815
0.6100	2.957
0.6200	3.083
0.6300	3.197
0.6400	3.302
0.6500	3.400
0.6600	3.492
