lambda (um)	n_glass	kappa_glass
10.53	2.224	0.102
10.81	2.038	0.046
11.11	1.869	0.0506
11.36	1.784	0.0775
11.63	1.69	0.116
11.76	1.652	0.152
11.9	1.619	0.204
12.05	1.615	0.267
12.2	1.658	0.323
12.35	1.701	0.341
12.5	1.753	0.343
12.66	1.789	0.314
12.82	1.811	0.275
12.99	1.81	0.227
13.16	1.779	0.192
13.33	1.756	0.177
13.79	1.698	0.157
14.29	1.643	0.157
14.81	1.598	0.168
15.38	1.555	0.182
16	1.502	0.202
16.67	1.45	0.235
17.24	1.401	0.264
17.86	1.337	0.298
18.52	1.235	0.341
18.97	1.161	0.377
19.23	1.05	0.415
19.61	0.8857	0.524
20	0.6616	0.822
20.41	0.5777	1.28
20.83	0.7517	1.86
21.05	1.002	2.22
21.28	1.484	2.39
21.74	2.308	2.29
22.73	2.936	1.29
23.81	2.912	0.738
25	2.739	0.397
26.67	2.537	0.199
28.57	2.388	0.13
30.77	2.284	0.092
33.33	2.21	0.067
36.36	2.147	0.056
40	2.1	0.046
100	1.967	0.0159
125	1.962	0.0119
166.7	1.959	0.008619999999999999
250	1.957	0.00696
500	1.955	0.00796
