wl	n
3.7463	1.47058
3.7572	1.47037
3.7681	1.46985
3.7791	1.46933
3.7901	1.46923
3.8013	1.46912
3.8124	1.46898
3.8237	1.46890
3.8350	1.46880
3.8464	1.46881
3.8578	1.46891
3.8693	1.46883
3.8809	1.46852
3.8926	1.46815
3.9043	1.46787
3.9161	1.46779
3.9280	1.46793
3.9399	1.46807
3.9519	1.46811
3.9640	1.46801
3.9762	1.46780
3.9884	1.46764
4.0007	1.46727
4.0131	1.46662
4.0255	1.46626
4.0381	1.46640
4.0507	1.46648
4.0634	1.46614
4.0762	1.46566
4.0890	1.46530
4.1020	1.46505
4.1150	1.46509
4.1281	1.46534
4.1413	1.46527
4.1546	1.46480
4.1679	1.46465
4.1814	1.46486
4.1949	1.46481
4.2085	1.46475
4.2222	1.46486
4.2360	1.46391
4.2499	1.46312
4.2639	1.46342
4.2780	1.46331
4.2921	1.46309
4.3064	1.46324
4.3208	1.46320
4.3352	1.46277
4.3498	1.46221
4.3644	1.46197
4.3791	1.46193
4.3940	1.46172
4.4089	1.46149
4.4240	1.46146
4.4391	1.46141
4.4544	1.46127
4.4697	1.46101
4.4852	1.46068
4.5008	1.46015
4.5165	1.45943
4.5323	1.45897
4.5482	1.45895
4.5642	1.45917
4.5803	1.45916
4.5965	1.45874
4.6129	1.45831
4.6294	1.45787
4.6460	1.45747
4.6627	1.45713
4.6795	1.45687
4.6965	1.45673
4.7136	1.45661
4.7308	1.45625
4.7481	1.45579
4.7655	1.45552
4.7831	1.45498
4.8008	1.45415
4.8187	1.45386
4.8367	1.45388
4.8548	1.45346
4.8730	1.45305
4.8914	1.45290
4.9100	1.45258
4.9286	1.45196
4.9474	1.45140
4.9664	1.45100
4.9855	1.45040
5.0047	1.44974
5.0241	1.44912
5.0437	1.44825
5.0634	1.44810
5.0832	1.44792
5.1033	1.44714
5.1234	1.44634
5.1438	1.44570
5.1643	1.44497
5.1849	1.44416
5.2057	1.44317
5.2267	1.44205
5.2479	1.44080
5.2692	1.43950
5.2907	1.43809
5.3124	1.43626
5.3343	1.43445
5.3563	1.43266
5.3785	1.43050
5.4009	1.42834
5.4235	1.42622
5.4463	1.42379
5.4693	1.42060
5.4925	1.41665
5.5159	1.41254
5.5394	1.40778
5.5632	1.40181
5.5872	1.39375
5.6114	1.38371
5.6358	1.36953
5.6604	1.34661
5.6852	1.30936
5.7103	1.25301
5.7355	1.23647
5.7610	1.34527
5.7867	1.53325
5.8127	1.65705
5.8389	1.65492
5.8653	1.60143
5.8919	1.55983
5.9188	1.53767
5.9460	1.52497
5.9734	1.51370
6.0011	1.50416
6.0290	1.49716
6.0571	1.49099
6.0856	1.48632
6.1143	1.48305
