lambda_um n_glass k_glass n_ag k_ag I
1.39506 1.44584 0.0 0.5904359193548386 9.602942258064516 6.314576900000295e-07
1.4695 1.44497 0.0 0.6660165322580645 10.151637096774195 0.0722615
1.52952 1.44427 0.0 0.726956193548387 10.594042580645162 0.2634855999999997
1.6606 1.44267 0.0 0.8600446774193549 11.560229032258066 0.22363200000000005
1.681 1.44241 0.0 0.8807572580645161 11.71059677419355 0.19447
1.6932 1.44226 0.0 0.893144193548387 11.800522580645163 0.210026
1.70913 1.44205 0.0 0.9093182822580645 11.917942096774194 0.1896191199999999
1.81307 1.44069 0.0 1.0148509112903223 12.684080483870968 0.005755667000000036
1.97009 1.43851 0.0 1.1742768629032256 13.841469838709678 0.0491891799999997
2.0581 1.43722 0.0 1.2636354032258064 14.49018870967742 0.06376393999999985
2.1526 1.43576 0.0 1.3595833870967742 15.186745161290325 0.08474352000000002
2.32542 1.43292 0.0 1.5350514354838707 16.460595806451614 0.056266155999999956
2.4374 1.43095 0.0 1.6487472580645157 17.28599677419355 0.028496079999998793
3.2439 1.41314 0.0 3.8025817741935484 21.71982358870968 0.001396798200000075
3.2668 1.41253 0.0 3.865852258064516 21.843326612903226 0.002004456000000039
3.3026 1.41155 0.0 3.964764193548387 22.03640120967742 0.002903743999999992
3.422 1.40819 0.0 4.294654838709678 22.680342741935487 0.011901399999999831
3.507 1.40568 0.0 4.529501612903227 23.138760080645163 0.011870600000000009
3.5564 1.40418 0.0 4.665989032258064 23.405181451612904 0.009544431999999957
3.7067 1.39936 0.0 5.081253387096774 24.21577116935484 0.01029195999999998
3.846 1.395 4.96e-05 5.466125806451614 24.967036290322582 0.00878956
4.167 1.383 0.000107 6.353017741935484 26.69823588709677 0.0071043
5.556 1.306 0.00563 10.190690322580647 34.18931451612903 0.0071043
5.882 1.278 0.00594 11.091396774193548 35.947479838709675 0.0071043
6.25 1.239 0.00652 12.108145161290324 37.93215725806452 0.0071043
6.452 1.212 0.00657 12.666251612903228 39.021572580645156 0.0071043
6.667 1.175 0.00716 13.260275806451613 40.18109879032258 0.0071043
7.143 1.053 0.0106 14.575417741935485 42.748235887096776 0.0071043
7.407 0.9488 0.0148 15.304824193548388 44.17202620967741 0.0071043
7.692 0.7719 0.0372 16.092251612903226 45.709072580645156 0.0071043
7.752 0.7037 0.0474 16.258025806451613 46.03266129032258 0.0071043
7.813 0.6232 0.0767999999999999 16.426562903225808 46.36164314516129 0.0071043
7.874 0.5456 0.132 16.595100000000002 46.690625 0.0071043
7.937 0.4677 0.216 16.76916290322581 47.0303931451613 0.0071043
